Date,hour,temp
2023-01-31,4,38.5
2023-01-31,5,36
2023-01-31,6,35.75
2023-01-31,7,34.5
2023-01-31,8,34
2023-01-31,9,36
2023-01-31,10,36
2023-01-31,11,38
2023-01-31,12,38
2023-01-31,13,39
2023-01-31,14,37
2023-01-31,15,37
2023-01-31,16,37
2023-01-31,17,37
2023-01-31,18,37
2023-01-31,19,36
2023-01-31,20,35
2023-01-31,21,33
2023-01-31,22,32
2023-01-31,23,31
2023-02-01,0,31
2023-02-01,1,30
2023-02-01,2,30
2023-02-01,3,29
2023-02-01,4,27.25
2023-02-01,5,26.833333333333332
2023-02-01,6,27.666666666666668
2023-02-01,7,28
2023-02-01,8,29
2023-02-01,9,29
2023-02-01,10,30
2023-02-01,11,32
2023-02-01,12,36
2023-02-01,13,37
2023-02-01,14,37
2023-02-01,15,37
2023-02-01,16,37
2023-02-01,17,36
2023-02-01,18,34
2023-02-01,19,33
2023-02-01,20,32
2023-02-01,21,31
2023-02-01,22,31
2023-02-01,23,30
2023-02-02,0,30
2023-02-02,1,30
2023-02-02,2,30
2023-02-02,3,30
2023-02-02,4,30
2023-02-02,5,30
2023-02-02,6,29
2023-02-02,7,29
2023-02-02,8,33
2023-02-02,9,34
2023-02-02,10,35
2023-02-02,11,36
2023-02-02,12,38
2023-02-02,13,38
2023-02-02,14,39
2023-02-02,15,39
2023-02-02,16,38
2023-02-02,17,37
2023-02-02,18,37
2023-02-02,19,37
2023-02-02,20,37
2023-02-02,21,36
2023-02-02,22,36
2023-02-02,23,35
2023-02-03,0,35
2023-02-03,1,34
2023-02-03,2,34
2023-02-03,3,34
2023-02-03,4,32
2023-02-03,5,29
2023-02-03,6,27
2023-02-03,7,25
2023-02-03,8,23
2023-02-03,9,22
2023-02-03,10,22
2023-02-03,11,23
2023-02-03,12,23
2023-02-03,13,21
2023-02-03,14,21
2023-02-03,15,20
2023-02-03,16,18
2023-02-03,17,17
2023-02-03,18,15
2023-02-03,19,13
2023-02-03,20,13
2023-02-03,21,12
2023-02-03,22,12
2023-02-03,23,12
2023-02-04,0,11
2023-02-04,1,9
2023-02-04,2,8
2023-02-04,3,6
2023-02-04,4,5
2023-02-04,5,4
2023-02-04,6,4
2023-02-04,7,4
2023-02-04,8,6
2023-02-04,9,8
2023-02-04,10,11
2023-02-04,11,13
2023-02-04,12,16
2023-02-04,13,18
2023-02-04,14,19
2023-02-04,15,21
2023-02-04,16,22
2023-02-04,17,22
2023-02-04,18,24
2023-02-04,19,25
2023-02-04,20,25
2023-02-04,21,25
2023-02-04,22,27
2023-02-04,23,27
2023-02-05,0,28
2023-02-05,1,29
2023-02-05,2,29
2023-02-05,3,30
2023-02-05,4,30
2023-02-05,5,31
2023-02-05,6,31
2023-02-05,7,33
2023-02-05,8,34
2023-02-05,9,35
2023-02-05,10,37
2023-02-05,11,40
2023-02-05,12,45
2023-02-05,13,48
2023-02-05,14,48
2023-02-05,15,49
2023-02-05,16,47
2023-02-05,17,44
2023-02-05,18,45
2023-02-05,19,46
2023-02-05,20,48
2023-02-05,21,46
2023-02-05,22,47
2023-02-05,23,44
2023-02-06,0,47
2023-02-06,1,46
2023-02-06,2,44
2023-02-06,3,44
2023-02-06,4,42
2023-02-06,5,41
2023-02-06,6,42
2023-02-06,7,42
2023-02-06,8,42
2023-02-06,9,45
2023-02-06,10,48
2023-02-06,11,50
2023-02-06,12,52
2023-02-06,13,49
2023-02-06,14,48
2023-02-06,15,46
2023-02-06,16,45
2023-02-06,17,44
2023-02-06,18,43
2023-02-06,19,41
2023-02-06,20,40
2023-02-06,21,37
2023-02-06,22,35
2023-02-06,23,34
2023-02-07,0,33
2023-02-07,1,33
2023-02-07,2,32
2023-02-07,3,31
2023-02-07,4,31
2023-02-07,5,30
2023-02-07,6,30
2023-02-07,7,31
2023-02-07,8,33
2023-02-07,9,34
2023-02-07,10,37
2023-02-07,11,40
